"","x"
"1",1
"2",0.9727928377938
"3",0.946325905262914
"4",0.926470111887254
"5",0.913928467228401
"6",0.901556599067172
"7",0.891764759876287
"8",0.882079270208926
"9",0.872498974999024
"10",0.863022731725733
"11",0.853649410277162
"12",0.844377892815612
"13",0.835207073644255
"14",0.827928059176851
"15",0.820712482931284
"16",0.81355979202941
"17",0.806469438411545
"18",0.799440878794464
"19",0.792473574629776
"20",0.785566992062658
"21",0.77872060189095
"22",0.771933879524607
"23",0.765206304945501
"24",0.758537362667578
"25",0.751926541697358
"26",0.745373335494783
"27",0.738877241934404
"28",0.732437763266906
"29",0.726054406080969
"30",0.719726681265462
"31",0.713454103971967
"32",0.707236193577625
"33",0.701072473648313
"34",0.694962471902138
"35",0.688905720173245
"36",0.682901754375951
"37",0.676950114469181
"38",0.67105034442122
"39",0.66520199217477
"40",0.659404609612313
"41",0.653657752521775
"42",0.647960980562486
"43",0.642313857231444
"44",0.636715949829868
"45",0.631166829430043
"46",0.62566607084245
"47",0.620213252583196
"48",0.61480795684171
"49",0.609449769448733
"50",0.604138279844584
"51",0.5988730810477
"52",0.593653769623451
"53",0.588479945653231
"54",0.583351212703813
"55",0.578267177796971
"56",0.573227451379374
"57",0.568231647292733
"58",0.563279382744214
"59",0.558370278277109
"60",0.553503957741756
"61",0.548680048266722
"62",0.543898180230233
"63",0.539157987231848
"64",0.534459106064387
"65",0.529801176686103
"66",0.525183842193091
"67",0.520606748791942
"68",0.516069545772636
"69",0.511571885481668
"70",0.50711342329541
"71",0.502693817593706
"72",0.498312729733694
"73",0.49396982402386
"74",0.489664767698317
"75",0.485397230891305
"76",0.481166886611917
"77",0.476973410719045
"78",0.472816481896541
"79",0.4686957816286
"80",0.464610994175353
"81",0.460561806548671
"82",0.45654790848819
"83",0.452568992437529
"84",0.448624753520733
"85",0.444714889518906
"86",0.440839100847058
"87",0.436997090531147
"88",0.433188564185327
"89",0.429413229989389
"90",0.425670798666401
"91",0.421960983460545
"92",0.418283500115142
"93",0.414638066850875
"94",0.411024404344193
"95",0.407442235705914
"96",0.403891286460005
"97",0.400371284522554
"98",0.396881960180919
"99",0.393423046073064
"100",0.389994277167072
"101",0.386595390740839
"102",0.38322612636194
"103",0.379886225867678
"104",0.3765754333453
"105",0.373293495112391
"106",0.370040159697433
"107",0.366815177820537
"108",0.363618302374345
"109",0.360449288405094
"110",0.357307893093848
"111",0.354193875737889
"112",0.35110699773228
"113",0.348047022551576
"114",0.345013715731705
"115",0.342006844852001
"116",0.339026179517395
"117",0.336071491340764
"118",0.333142553925426
"119",0.330239142847799
"120",0.327361035640202
"121",0.324508011773806
"122",0.321679852641744
"123",0.318876341542353
"124",0.316097263662575
"125",0.313342406061492
"126",0.310611557654018
"127",0.307904509194717
"128",0.305221053261773
"129",0.302560984241099
"130",0.29992409831058
"131",0.297310193424454
"132",0.294719069297834
"133",0.29215052739136
"134",0.289604370895987
"135",0.287080404717902
"136",0.284578435463581
"137",0.282098271424964
"138",0.279639722564773
"139",0.277202600501943
"140",0.274786718497195
"141",0.272391891438722
"142",0.270017935828008
"143",0.267664669765767
"144",0.265331912938006
"145",0.263019486602208
"146",0.260727213573637
"147",0.258454918211761
"148",0.256202426406793
"149",0.253969565566352
"150",0.25175616460224
"151",0.249562053917327
"152",0.247387065392562
"153",0.245231032374087
"154",0.24309378966047
"155",0.240975173490047
"156",0.238875021528371
"157",0.236793172855779
"158",0.234729467955054
"159",0.23268374869921
"160",0.230655858339373
"161",0.228645641492768
"162",0.226652944130815
"163",0.224677613567331
"164",0.222719498446823
"165",0.220778448732895
"166",0.218854315696754
"167",0.216946951905809
"168",0.215056211212377
"169",0.213181948742485
"170",0.211324020884768
"171",0.209482285279467
"172",0.207656600807518
"173",0.205846827579743
"174",0.204052826926127
"175",0.202274461385198
"176",0.200511594693486
"177",0.198764091775093
"178",0.197031818731333
"179",0.19531464283048
"180",0.193612432497591
"181",0.191925057304431
"182",0.190252387959474
"183",0.188594296297998
"184",0.186950655272267
"185",0.185321338941791
"186",0.183706222463682
"187",0.182105182083085
"188",0.180518095123694
"189",0.178944839978356
"190",0.17738529609975
"191",0.175839343991154
"192",0.174306865197284
"193",0.17278774229522
"194",0.17128185888541
"195",0.169789099582749
"196",0.168309350007739
"197",0.166842496777725
"198",0.165388427498206
"199",0.163947030754226
"200",0.162518196101831
"201",0.161101814059615
"202",0.159697776100324
"203",0.158305974642544
"204",0.156926303042456
"205",0.155558655585667
"206",0.154202927479106
"207",0.152859014842999
"208",0.151526814702906
"209",0.150206224981833
"210",0.148897144492409
"211",0.147599472929133
"212",0.146313110860688
"213",0.145037959722326
"214",0.143773921808309
"215",0.142520900264428
"216",0.14127879908058
